"subids","age","gender","comments","exp_about","exp_unclear","exp_strategy","exp_external_aid","exp_improve","approval_time","exp_time","trial_type","trial_time","question","trial_num_within_block","shape","response","correct","block","question_and_shape"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",5727,"parallelogram",1,"rhombus","Yes",TRUE,"6","parallelogram_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3587,"rhombus",2,"parallelogram","No",TRUE,"6","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2076,"rhombus",3,"square","Yes",TRUE,"6","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2626,"parallelogram",4,"rectangle","Yes",TRUE,"6","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2249,"square",5,"parallelogram","No",TRUE,"6","square_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2125,"rectangle",6,"rectangle","Yes",TRUE,"6","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1851,"rectangle",7,"parallelogram","Yes",FALSE,"6","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",4751,"rhombus",8,"rhombus","Yes",TRUE,"6","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1786,"square",9,"rhombus","No",TRUE,"6","square_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3577,"rectangle",10,"square","Yes",TRUE,"6","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2282,"rhombus",11,"rectangle","No",TRUE,"6","rhombus_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2199,"rectangle",12,"rhombus","No",TRUE,"6","rectangle_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2282,"parallelogram",13,"parallelogram","Yes",TRUE,"6","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",5168,"parallelogram",14,"square","Yes",TRUE,"6","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2482,"square",15,"square","Yes",TRUE,"6","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1930,"square",16,"rectangle","No",TRUE,"6","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2928,"rhombus",1,"square","Yes",TRUE,"7","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1858,"rectangle",2,"rectangle","Yes",TRUE,"7","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1717,"square",3,"square","Yes",TRUE,"7","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1928,"parallelogram",4,"square","Yes",TRUE,"7","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3944,"rectangle",5,"rhombus","Yes",FALSE,"7","rectangle_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3112,"rhombus",6,"parallelogram","No",TRUE,"7","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1897,"rhombus",7,"rhombus","Yes",TRUE,"7","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2651,"rectangle",8,"square","Yes",TRUE,"7","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2647,"rectangle",9,"parallelogram","Yes",FALSE,"7","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3961,"parallelogram",10,"rectangle","Yes",TRUE,"7","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1609,"square",11,"rectangle","No",TRUE,"7","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1755,"parallelogram",12,"parallelogram","Yes",TRUE,"7","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1486,"square",13,"rhombus","Yes",FALSE,"7","square_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1710,"parallelogram",14,"rhombus","Yes",TRUE,"7","parallelogram_rhombus"
