"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","square",7,"pretest","square","parallelogram_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","square",8,"pretest","square","rectangle_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","no","rectangle",9,"pretest","rectangle","rhombus_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","rectangle",10,"pretest","rectangle","rectangle_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","no","rectangle",11,"pretest","rectangle","square_rectangle",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","rectangle",12,"pretest","rectangle","parallelogram_rectangle",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","yes","parallelogram",13,"pretest","parallelogram","square_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","parallelogram",14,"pretest","parallelogram","parallelogram_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","parallelogram",15,"pretest","parallelogram","rectangle_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","parallelogram",16,"pretest","parallelogram","rhombus_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","yes","rhombus",NA,"1","rhombus","rhombus_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","yes","rhombus",NA,"1","rhombus","rhombus_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","yes","parallelogram",NA,"1","rhombus","rhombus_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","yes","rhombus",NA,"2","rhombus","rhombus_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","no","parallelogram",NA,"2","rhombus","rhombus_parallelogram",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"training","rhombus","no","parallelogram",NA,"2","rhombus","rhombus_parallelogram",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","no","rectangle",1,"posttest","rhombus","rhombus_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","yes","square",2,"posttest","rhombus","rhombus_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","yes","rectangle",3,"posttest","square","square_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","yes","parallelogram",4,"posttest","rhombus","rhombus_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","no","rhombus",5,"posttest","rectangle","rectangle_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","no","square",6,"posttest","parallelogram","parallelogram_square",TRUE
